id,lat,long,DataZone,acc_employment,acc_gp,acc_hospitals,acc_school,acc_supermarket,acc_urbancentre
1912,56.45861529,-3.04956052,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
1913,56.45771705,-3.04953572,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
1974,56.458629,-3.04793819,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
1975,56.45773076,-3.04791343,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
1976,56.45683252,-3.04788868,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2036,56.45864268,-3.04631586,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2037,56.45774444,-3.04629114,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2038,56.4568462,-3.04626643,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2039,56.45594796,-3.04624171,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2040,56.45504972,-3.046217,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2099,56.45775811,-3.04466885,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2100,56.45685987,-3.04464417,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2101,56.45596162,-3.0446195,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2102,56.45506338,-3.04459482,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2103,56.45416514,-3.04457015,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2161,56.45777175,-3.04304655,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2162,56.45687351,-3.04302192,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2163,56.45597526,-3.04299728,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2164,56.45507702,-3.04297264,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2165,56.45417878,-3.04294801,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2166,56.45328054,-3.04292338,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2223,56.45778537,-3.04142426,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2224,56.45688713,-3.04139966,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2225,56.45598888,-3.04137506,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2226,56.45509064,-3.04135046,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2227,56.4541924,-3.04132587,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2228,56.45329415,-3.04130127,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2286,56.45690073,-3.0397774,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2287,56.45600248,-3.03975284,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2288,56.45510424,-3.03972828,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2289,56.454206,-3.03970372,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2290,56.45330775,-3.03967917,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2291,56.45240951,-3.03965461,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2348,56.45691431,-3.03815514,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2349,56.45601606,-3.03813062,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2350,56.45511782,-3.0381061,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2351,56.45421957,-3.03808158,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2352,56.45332133,-3.03805706,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2353,56.45242308,-3.03803254,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2409,56.45782611,-3.03655736,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2410,56.45692786,-3.03653288,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2411,56.45602962,-3.03650839,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2412,56.45513137,-3.03648391,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2413,56.45423313,-3.03645943,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2414,56.45333488,-3.03643495,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2415,56.45243664,-3.03641047,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2416,56.45153839,-3.036386,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2472,56.4569414,-3.03491061,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2473,56.45604315,-3.03488617,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2474,56.45514491,-3.03486172,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2475,56.45424666,-3.03483728,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2476,56.45334842,-3.03481284,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2477,56.45245017,-3.0347884,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2478,56.45155193,-3.03476396,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2534,56.4569549,-3.03328835,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2535,56.45605666,-3.03326394,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2536,56.45515841,-3.03323954,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2537,56.45426017,-3.03321513,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2538,56.45336192,-3.03319073,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2539,56.45246368,-3.03316633,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
2540,56.45156543,-3.03314193,S01007682,10.084286574352799,0,50,0,0,44.26229508196721
